scenarioId,profile,contractVersion,mapVersion,initialSnapshotHash,repetition,candidateRank,actionSequence,salientEnemyId,salientTargetProgress,killCount,damageDealt,terminalNearestEnemyDistance,terminalNearbyEnemyCount,terminalHeightDelta,terminalActionable,executionDifficulty,expectedHits,durationTicks,safetyScore,killScore,difficultyScore,totalScore,elapsedMs,worldHashAfterReplay,replayValid
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,1,1,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveForward",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,67.113,FA719F06CF7A983F,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,1,2,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveLeft",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,67.113,BB082FFA03D1072B,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,1,3,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveRight",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,67.113,69DEE7F948533187,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,2,1,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveForward",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,40.335,FA719F06CF7A983F,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,2,2,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveLeft",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,40.335,BB082FFA03D1072B,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,2,3,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveRight",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,40.335,69DEE7F948533187,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,3,1,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveForward",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,48.568,FA719F06CF7A983F,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,3,2,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveLeft",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,48.568,BB082FFA03D1072B,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,3,3,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveRight",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,48.568,69DEE7F948533187,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,4,1,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveForward",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,42.245,FA719F06CF7A983F,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,4,2,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveLeft",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,42.245,BB082FFA03D1072B,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,4,3,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveRight",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,42.245,69DEE7F948533187,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,5,1,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveForward",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,44.854,FA719F06CF7A983F,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,5,2,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveLeft",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,44.854,BB082FFA03D1072B,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,5,3,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveRight",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,44.854,69DEE7F948533187,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,6,1,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveForward",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,47.210,FA719F06CF7A983F,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,6,2,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveLeft",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,47.210,BB082FFA03D1072B,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,6,3,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveRight",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,47.210,69DEE7F948533187,True
A1,공격형-무가중진단,1.6,1,AF284A1B62F10114,7,1,"Lunge(0)>Attack>DashLeft>Lunge(2)>Attack>Retreat>Attack>MoveForward>MoveForward>MoveForward>MoveForward>MoveForward",0,34.000,4,8,-1.000,0,0.000,True,6.400,1,180,3499999.000,404.800,0.000,3500403.000,40.599,FA719F06CF7A983F,True
