scenarioId,fixtureVersion,profile,contractVersion,mapVersion,initialSnapshotHash,repetition,candidateRank,actionSequence,salientEnemyId,salientTargetProgress,killCount,damageDealt,initialEnemyCount,finalAliveEnemyCount,terminalNearestEnemyDistance,terminalNearbyEnemyCount,terminalHeightDelta,terminalActionable,executionDifficulty,expectedHits,durationTicks,safetyScore,killScore,difficultyScore,totalScore,elapsedMs,worldHashAfterReplay,replayValid
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,1,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,9.427,0,180,3499998.000,880.000,0.000,3500878.000,403.971,174E838DC2F18B2B,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,1,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,9.427,0,180,3500000.000,831.600,0.000,3500832.000,403.971,0E0BAA0CC0A1ACC0,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,1,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,8.677,0,180,3499998.000,831.600,0.000,3500829.000,403.971,1456CDCDEF8C4CBA,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,2,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,9.427,0,180,3499998.000,880.000,0.000,3500878.000,399.197,174E838DC2F18B2B,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,2,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,9.427,0,180,3500000.000,831.600,0.000,3500832.000,399.197,0E0BAA0CC0A1ACC0,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,2,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,8.677,0,180,3499998.000,831.600,0.000,3500829.000,399.197,1456CDCDEF8C4CBA,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,3,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,9.427,0,180,3499998.000,880.000,0.000,3500878.000,376.300,174E838DC2F18B2B,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,3,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,9.427,0,180,3500000.000,831.600,0.000,3500832.000,376.300,0E0BAA0CC0A1ACC0,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,3,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,8.677,0,180,3499998.000,831.600,0.000,3500829.000,376.300,1456CDCDEF8C4CBA,True
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,4,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,9.427,0,180,3499998.000,880.000,0.000,3500878.000,338.093,174E838DC2F18B2B,True
