scenarioId,fixtureVersion,profile,contractVersion,mapVersion,initialSnapshotHash,repetition,candidateRank,actionSequence,salientEnemyId,salientTargetProgress,killCount,damageDealt,initialEnemyCount,finalAliveEnemyCount,terminalNearestEnemyDistance,terminalNearbyEnemyCount,terminalHeightDelta,terminalActionable,terminalPositionQuality,executionDifficulty,expectedHits,durationTicks,safetyScore,killScore,difficultyScore,totalScore,elapsedMs,worldHashAfterReplay,replayValid,auditRank,auditRecommended,auditDiffersFromBeamWinner,auditReason
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,1,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,-29.577,9.427,0,180,3499998.000,880.000,0.000,3500878.000,447.455,174E838DC2F18B2B,True,1,True,False,"Beam 1위와 관측축 추천 일치"
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,1,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,-13.628,9.427,0,180,3500000.000,831.600,0.000,3500832.000,447.455,0E0BAA0CC0A1ACC0,True,2,False,False,""
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,1,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,-36.458,8.677,0,180,3499998.000,831.600,0.000,3500829.000,447.455,1456CDCDEF8C4CBA,True,3,False,False,""
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,2,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,-29.577,9.427,0,180,3499998.000,880.000,0.000,3500878.000,407.159,174E838DC2F18B2B,True,1,True,False,"Beam 1위와 관측축 추천 일치"
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,2,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,-13.628,9.427,0,180,3500000.000,831.600,0.000,3500832.000,407.159,0E0BAA0CC0A1ACC0,True,2,False,False,""
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,2,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,-36.458,8.677,0,180,3499998.000,831.600,0.000,3500829.000,407.159,1456CDCDEF8C4CBA,True,3,False,False,""
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,3,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,-29.577,9.427,0,180,3499998.000,880.000,0.000,3500878.000,428.089,174E838DC2F18B2B,True,1,True,False,"Beam 1위와 관측축 추천 일치"
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,3,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,-13.628,9.427,0,180,3500000.000,831.600,0.000,3500832.000,428.089,0E0BAA0CC0A1ACC0,True,2,False,False,""
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,3,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,-36.458,8.677,0,180,3499998.000,831.600,0.000,3500829.000,428.089,1456CDCDEF8C4CBA,True,3,False,False,""
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,4,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,-29.577,9.427,0,180,3499998.000,880.000,0.000,3500878.000,430.026,174E838DC2F18B2B,True,1,True,False,"Beam 1위와 관측축 추천 일치"
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,4,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,-13.628,9.427,0,180,3500000.000,831.600,0.000,3500832.000,430.026,0E0BAA0CC0A1ACC0,True,2,False,False,""
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,4,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,-36.458,8.677,0,180,3499998.000,831.600,0.000,3500829.000,430.026,1456CDCDEF8C4CBA,True,3,False,False,""
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,5,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,-29.577,9.427,0,180,3499998.000,880.000,0.000,3500878.000,419.470,174E838DC2F18B2B,True,1,True,False,"Beam 1위와 관측축 추천 일치"
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,5,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,-13.628,9.427,0,180,3500000.000,831.600,0.000,3500832.000,419.470,0E0BAA0CC0A1ACC0,True,2,False,False,""
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,5,3,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>MoveForward>Attack",0,34.000,7,21,16,9,1.271,8,0.000,False,-36.458,8.677,0,180,3499998.000,831.600,0.000,3500829.000,419.470,1456CDCDEF8C4CBA,True,3,False,False,""
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,6,1,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashForward>Attack",0,34.000,8,20,16,8,1.211,7,0.000,False,-29.577,9.427,0,180,3499998.000,880.000,0.000,3500878.000,409.657,174E838DC2F18B2B,True,1,True,False,"Beam 1위와 관측축 추천 일치"
A1,A-v2-complex,공격형-무가중진단,1.6,1,50DEB425210D7347,6,2,"Lunge(0)>Attack>DashForward>Lunge(7)>Attack>DashBackward>Lunge(3)>Attack>MoveRight>Attack>DashLeft>Attack",0,34.000,7,21,16,9,2.186,5,0.000,False,-13.628,9.427,0,180,3500000.000,831.600,0.000,3500832.000,409.657,0E0BAA0CC0A1ACC0,True,2,False,False,""
