scenarioId,fixtureVersion,weightStage,profile,salientTargetMul,terminalPositionMul,difficultyPenaltyMul,difficultyTerminalOnly,contractVersion,mapVersion,initialSnapshotHash,repetition,candidateRank,actionSequence,salientEnemyId,salientTargetProgress,killCount,damageDealt,initialEnemyCount,finalAliveEnemyCount,terminalNearestEnemyDistance,terminalNearbyEnemyCount,terminalHeightDelta,terminalActionable,terminalPositionQuality,executionDifficulty,expectedHits,durationTicks,safetyScore,killScore,difficultyScore,totalScore,elapsedMs,worldHashAfterReplay,replayValid,auditRank,auditRecommended,auditDiffersFromBeamWinner,auditReason
S1,S-v2-dense,0-baseline,안정형-무가중진단,0.000,0.000,0.000,False,1.9,1,AE579F8117AC15E3,1,1,"Lunge(11)>Attack>DashBackward>Lunge(5)>Attack>Retreat>Attack>DashBackward>Lunge(6)>Attack>DashForward>Attack",11,29.000,6,13,12,6,1.055,4,0.000,False,-2.391,9.385,0,180,62.109,192.000,0.000,254.109,454.879,D95A8824FE75F49B,True,3,False,True,""
S1,S-v2-dense,0-baseline,안정형-무가중진단,0.000,0.000,0.000,False,1.9,1,AE579F8117AC15E3,1,2,"Lunge(11)>Attack>DashBackward>Lunge(5)>Attack>Retreat>Attack>DashBackward>Lunge(6)>Attack>MoveRight>Attack",11,29.000,6,12,12,6,1.390,4,0.000,False,-0.220,8.635,0,180,62.780,188.000,0.000,250.780,454.879,7BA2EAD8D8320F11,True,2,False,True,""
S1,S-v2-dense,0-baseline,안정형-무가중진단,0.000,0.000,0.000,False,1.9,1,AE579F8117AC15E3,1,3,"Lunge(11)>Attack>DashBackward>Lunge(5)>Attack>Retreat>Attack>DashBackward>Lunge(6)>Attack>DashRight>Lunge(0)",11,29.000,6,11,12,6,3.046,2,0.000,True,26.592,10.097,0,180,66.092,184.000,0.000,250.092,454.879,7DCBA96F3BE842FA,True,1,True,True,"종료 안전도와 퇴로 우세"
S1,S-v2-dense,0-baseline,안정형-무가중진단,0.000,0.000,0.000,False,1.9,1,AE579F8117AC15E3,2,1,"Lunge(11)>Attack>DashBackward>Lunge(5)>Attack>Retreat>Attack>DashBackward>Lunge(6)>Attack>DashForward>Attack",11,29.000,6,13,12,6,1.055,4,0.000,False,-2.391,9.385,0,180,62.109,192.000,0.000,254.109,392.889,D95A8824FE75F49B,True,3,False,True,""
S1,S-v2-dense,0-baseline,안정형-무가중진단,0.000,0.000,0.000,False,1.9,1,AE579F8117AC15E3,2,2,"Lunge(11)>Attack>DashBackward>Lunge(5)>Attack>Retreat>Attack>DashBackward>Lunge(6)>Attack>MoveRight>Attack",11,29.000,6,12,12,6,1.390,4,0.000,False,-0.220,8.635,0,180,62.780,188.000,0.000,250.780,392.889,7BA2EAD8D8320F11,True,2,False,True,""
S1,S-v2-dense,0-baseline,안정형-무가중진단,0.000,0.000,0.000,False,1.9,1,AE579F8117AC15E3,2,3,"Lunge(11)>Attack>DashBackward>Lunge(5)>Attack>Retreat>Attack>DashBackward>Lunge(6)>Attack>DashRight>Lunge(0)",11,29.000,6,11,12,6,3.046,2,0.000,True,26.592,10.097,0,180,66.092,184.000,0.000,250.092,392.889,7DCBA96F3BE842FA,True,1,True,True,"종료 안전도와 퇴로 우세"
S1,S-v2-dense,0-baseline,안정형-무가중진단,0.000,0.000,0.000,False,1.9,1,AE579F8117AC15E3,3,1,"Lunge(11)>Attack>DashBackward>Lunge(5)>Attack>Retreat>Attack>DashBackward>Lunge(6)>Attack>DashForward>Attack",11,29.000,6,13,12,6,1.055,4,0.000,False,-2.391,9.385,0,180,62.109,192.000,0.000,254.109,342.567,D95A8824FE75F49B,True,3,False,True,""
S1,S-v2-dense,0-baseline,안정형-무가중진단,0.000,0.000,0.000,False,1.9,1,AE579F8117AC15E3,3,2,"Lunge(11)>Attack>DashBackward>Lunge(5)>Attack>Retreat>Attack>DashBackward>Lunge(6)>Attack>MoveRight>Attack",11,29.000,6,12,12,6,1.390,4,0.000,False,-0.220,8.635,0,180,62.780,188.000,0.000,250.780,342.567,7BA2EAD8D8320F11,True,2,False,True,""
S1,S-v2-dense,0-baseline,안정형-무가중진단,0.000,0.000,0.000,False,1.9,1,AE579F8117AC15E3,3,3,"Lunge(11)>Attack>DashBackward>Lunge(5)>Attack>Retreat>Attack>DashBackward>Lunge(6)>Attack>DashRight>Lunge(0)",11,29.000,6,11,12,6,3.046,2,0.000,True,26.592,10.097,0,180,66.092,184.000,0.000,250.092,342.567,7DCBA96F3BE842FA,True,1,True,True,"종료 안전도와 퇴로 우세"
S1,S-v2-dense,0-baseline,안정형-무가중진단,0.000,0.000,0.000,False,1.9,1,AE579F8117AC15E3,4,1,"Lunge(11)>Attack>DashBackward>Lunge(5)>Attack>Retreat>Attack>DashBackward>Lunge(6)>Attack>DashForward>Attack",11,29.000,6,13,12,6,1.055,4,0.000,False,-2.391,9.385,0,180,62.109,192.000,0.000,254.109,344.995,D95A8824FE75F49B,True,3,False,True,""
